section_id,country_code,country_name,election_region_code,election_region_name,municipality_code,municipality_name,city_region_code,city_region_name,section_code,town_code,town_name,place,voters_count,is_machine,is_mobile,is_ship,is_covid
010300092,00,България,01,Благоевград,03,Благоевград,,,092,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",626,1,0,0,0
010300093,00,България,01,Благоевград,03,Благоевград,,,093,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",645,1,0,0,0
010300094,00,България,01,Благоевград,03,Благоевград,,,094,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",535,1,0,0,0
010300095,00,България,01,Благоевград,03,Благоевград,,,095,4279,гр. Благоевград,"Благоевградска професионална гимназия, ул. ""Иван Михайлов"" №62",718,1,0,0,0
010300096,00,България,01,Благоевград,03,Благоевград,,,096,4279,гр. Благоевград,"Благоевградска професионална гимназия, ул. ""Иван Михайлов"" №62",877,1,0,0,0
010300097,00,България,01,Благоевград,03,Благоевград,,,097,4279,гр. Благоевград,"Център за личностно и творческо развитие на децата, ул. ""Бистрица"" №001",409,1,0,0,0
010300098,00,България,01,Благоевград,03,Благоевград,,,098,4279,гр. Благоевград,"СУИЧЕ ""Климент Охридски"", ул. ""Брегалница"" №002",638,1,0,0,0
010300099,00,България,01,Благоевград,03,Благоевград,,,099,4279,гр. Благоевград,"Детска градина №11 ""Здравец"", ул. ""Лале"" №011",554,1,0,0,0
010300100,00,България,01,Благоевград,03,Благоевград,,,100,4279,гр. Благоевград,"Помощно училище ""Св. Паисий Хилендарски"", ул. ""Свобода"" №3",678,1,0,0,0
010300101,00,България,01,Благоевград,03,Благоевград,,,101,4279,гр. Благоевград,"V СУ ""Георги Измирлиев"", ул. ""Христо Чернопеев"" №16",545,1,0,0,0
010300102,00,България,01,Благоевград,03,Благоевград,,,102,4279,гр. Благоевград,"II основно училище ""Димитър Благоев"", ул. ""Митрополит Борис"" №2",555,1,0,0,0
010300103,00,България,01,Благоевград,03,Благоевград,,,103,4279,гр. Благоевград,"Детска градина №8 ""Вечерница"", ул. ""Григор пърличев"" №005",384,1,0,0,0
010300104,00,България,01,Благоевград,03,Благоевград,,,104,4279,гр. Благоевград,"VII СУ ""Кузман Шапкарев"", ул. ""Илинден"" №13",708,1,0,0,0
010300105,00,България,01,Благоевград,03,Благоевград,,,105,4279,гр. Благоевград,"Езикова гимназия""Акад. Л.стоянов"", ул. ""Марица"" №4",511,1,0,0,0
